구  분,,,월관람객수,,,,"동,식물원",,,,,,,,돌고래쇼,,,,,,,,테마가든,,,,,,,,캠프입장,,,,,,,,자연학습교실,,,,,,,,기타,,,,,,,
,,,,,,,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계,유료입장,,,,,,무료소계,총  계
날짜,요일,날씨,유료합계,무료합계,총계,외국인계,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,,유료소계,어른,청소년,어린이,외국인,단체입장,,
2008-11-12,수,,"2,845","1,866","4,711",4,"2,090","1,736",140,214,0,81,"1,703","3,793",518,417,21,80,0,30,75,593,110,96,0,14,4,0,88,198,54,54,0,0,0,0,0,54,73,0,0,73,0,0,0,73,0,0,0,,,,,
2008-11-13,목,,"3,632","1,709","5,341",0,"2,614","1,805",378,431,0,184,"1,496","4,110",818,421,85,312,0,0,119,937,169,143,2,24,0,0,94,263,31,30,0,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-14,금,,"3,352","1,515","4,867",9,"2,400","1,773",303,324,7,351,"1,335","3,735",741,506,10,225,2,0,126,867,162,83,0,79,0,68,54,216,49,49,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-15,토,,"5,372","1,839","7,211",13,"3,822","3,115",231,476,7,304,"1,432","5,254","1,318","1,034",13,271,3,0,374,"1,692",103,84,2,17,3,0,33,136,127,108,13,6,0,38,0,127,0,0,0,0,0,0,0,0,2,2,0,,,,,
2008-11-16,일,,"17,691","2,861","20,552",33,"12,423","9,425",374,"2,624",24,44,"1,972","14,395","4,416","3,169",113,"1,134",9,44,832,"5,248",726,552,10,164,0,0,57,783,126,104,2,20,0,20,0,126,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-17,월,,"1,159","1,067","2,226",2,799,704,28,67,2,32,999,"1,798",273,218,9,46,0,0,31,304,47,41,0,6,0,0,37,84,40,39,0,1,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-18,화,,353,931,"1,284",2,280,265,8,7,2,0,859,"1,139",62,54,5,3,0,0,55,117,3,3,0,0,0,0,17,20,8,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-19,수,,260,772,"1,032",3,223,159,12,52,0,43,772,995,28,22,2,4,3,0,0,28,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-20,목,,217,707,924,0,167,150,11,6,0,0,704,871,47,35,0,12,0,0,3,50,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-21,금,,738,822,"1,560",0,632,369,27,236,0,32,779,"1,411",83,69,3,11,0,0,28,111,21,8,0,13,0,0,15,36,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-22,토,,"6,523","1,287","7,810",9,"4,414","3,011",283,"1,120",5,371,"1,188","5,602","1,910","1,169",89,652,4,250,66,"1,976",107,75,2,30,0,0,33,140,72,55,6,11,0,9,0,72,20,0,0,20,0,0,0,20,0,0,0,,,,,
2008-11-23,일,,"10,928","2,075","13,003",15,"7,724","5,928",216,"1,580",0,61,"1,403","9,127","2,847","2,059",60,728,15,0,633,"3,480",325,239,6,80,0,0,39,364,32,28,0,4,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-24,월,,"1,011","1,090","2,101",0,782,678,41,63,0,0,"1,007","1,789",202,155,21,26,0,0,77,279,27,21,0,6,0,0,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-25,화,,800,957,"1,757",0,618,536,25,57,0,0,903,"1,521",166,135,5,26,0,0,27,193,10,7,0,3,0,0,27,37,6,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-26,수,,"1,036","1,106","2,142",0,739,607,52,80,0,41,"1,061","1,800",236,205,9,22,0,0,30,266,22,21,0,1,0,0,15,37,39,1,38,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-27,목,,92,222,314,0,80,65,11,4,0,0,220,300,10,7,2,1,0,0,0,10,2,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-28,금,,867,"1,000","1,867",4,672,564,43,65,0,37,973,"1,645",151,137,0,14,4,0,16,167,26,21,2,3,0,0,11,37,17,17,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,1,0,,,,,
2008-11-29,토,,"2,472","1,158","3,630",4,"1,759","1,401",147,211,0,167,"1,095","2,854",664,505,31,128,4,36,41,705,31,22,0,9,0,0,22,53,18,15,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-11-30,일,,"5,704","1,320","7,024",2,"4,071","3,222",136,713,2,30,"1,223","5,294","1,504","1,137",42,325,0,0,75,"1,579",68,49,0,19,0,0,22,90,61,56,0,5,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,,,,,
2008-12-01,월,,582,880,"1,462",0,446,339,30,77,0,44,865,"1,311",133,113,5,15,0,0,12,145,3,3,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-02,화,,974,"1,212","2,186",0,775,639,72,64,0,33,"1,146","1,921",174,150,6,18,0,0,32,206,25,19,1,5,0,0,34,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-03,수,,"1,257","1,419","2,676",8,"1,028",599,350,79,5,308,"1,365","2,393",211,142,41,28,3,0,22,233,18,15,0,3,0,0,32,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-04,목,,129,468,597,1,114,90,10,14,1,0,464,578,15,10,3,2,0,0,3,18,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-05,금,,83,535,618,0,67,57,9,1,0,0,514,581,15,12,2,1,0,0,21,36,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-06,토,,367,492,859,0,294,254,11,29,0,30,485,779,71,61,0,10,0,0,6,77,2,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-07,일,,"1,140",883,"2,023",7,896,763,34,99,7,31,855,"1,751",235,176,16,43,0,0,24,259,9,8,1,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-08,월,,387,619,"1,006",0,324,209,87,28,0,76,610,934,62,44,4,14,0,0,3,65,1,1,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-09,화,,660,"1,067","1,727",0,534,428,58,48,0,0,"1,017","1,551",122,104,4,14,0,0,34,156,4,4,0,0,0,0,16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-10,수,,695,"1,120","1,815",1,530,445,34,51,0,0,"1,076","1,606",143,106,12,25,0,0,21,164,22,19,0,3,1,0,23,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-12-11,목,,568,929,"1,497",6,470,405,40,25,2,0,896,"1,366",88,72,2,14,4,0,8,96,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,10,4,0,6,0,0,0,10,0,0,0,0,0,0,0,0
