date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median,rainfall_min,rainfall_max,rainfall_mean,rainfall_median,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median,humidity_min,humidity_max,humidity_mean,humidity_median,highest temperature_min,highest temperature_max,highest temperature_mean,highest temperature_median,lowest temperature_min,lowest temperature_max,lowest temperature_mean,lowest temperature_median,wind speed_min,wind speed_max,wind speed_mean,wind speed_median,wind direction_min,wind direction_max,wind direction_mean,wind direction_median,sky state_min,sky state_max,sky state_mean,sky state_median,weekday,visitor
2009-06-08,0.003,0.005,0.0035652173913043,0.003,0.3,0.6,0.4869565217391304,0.5,0.002,0.067,0.0385714285714285,0.044,0.019,0.074,0.0329130434782608,0.027,36.0,105.0,62.0,60.0,0.0,0.0,0.0,0.0,0.0,60.0,24.054054054054053,20.0,55.0,95.0,75.60810810810811,77.5,25.0,28.0,26.21052631578948,27.0,18.0,19.0,18.5625,19.0,0.2,4.9,1.6445945945945946,1.35,270.0,360.0,333.69594594594594,333.0,1.0,4.0,2.6621621621621623,3.0,1.0,"8,748"
2009-06-09,0.004,0.005,0.0042083333333333,0.004,0.3,0.7,0.4833333333333333,0.5,0.001,0.041,0.015375,0.01,0.019,0.065,0.0386666666666666,0.039,48.0,122.0,84.75,84.5,0.0,5.0,2.4342105263157894,0.0,20.0,60.0,31.41891891891892,30.0,55.0,95.0,77.9054054054054,80.0,26.0,29.0,27.789473684210527,28.0,18.0,20.0,18.875,18.0,0.3,2.3,1.0810810810810811,1.0,6.0,355.0,229.445945945946,276.0,1.0,3.0,1.4189189189189189,1.0,2.0,"3,126"
2009-06-10,0.003,0.005,0.004,0.004,0.3,0.6,0.3583333333333333,0.3,0.013,0.08,0.0432916666666666,0.0375,0.008,0.032,0.0174166666666666,0.015,18.0,86.0,37.333333333333336,28.5,0.0,0.0,0.0,0.0,20.0,60.0,24.72972972972973,20.0,55.0,95.0,75.16891891891892,77.5,28.0,30.0,29.26315789473684,29.0,20.0,20.0,20.0,20.0,0.9,7.0,2.908108108108108,2.6500000000000004,104.0,270.0,160.79054054054055,141.0,1.0,1.0,1.0,1.0,3.0,"4,029"
2009-06-12,0.004,0.007,0.005375,0.005,0.1,0.4,0.2416666666666666,0.3,0.013,0.074,0.044,0.043,0.012,0.049,0.0233333333333333,0.018,30.0,57.0,40.89473684210526,42.0,0.0,5.0,1.0526315789473684,0.0,0.0,60.0,29.5945945945946,30.0,60.0,95.0,76.08108108108108,75.0,29.0,30.0,29.894736842105264,30.0,20.0,20.0,20.0,20.0,0.2,1.8,0.8581081081081081,0.75,27.0,360.0,170.38513513513513,137.0,3.0,4.0,3.972972972972973,4.0,5.0,"13,503"
2009-06-14,0.005,0.008,0.005375,0.005,0.3,0.6,0.4624999999999999,0.5,0.002,0.062,0.03125,0.0325,0.011,0.038,0.022375,0.018,43.0,86.0,68.91666666666667,71.0,0.0,0.0,0.0,0.0,0.0,60.0,10.675675675675675,20.0,55.0,95.0,76.79054054054055,80.0,30.0,31.0,30.894736842105264,31.0,21.0,21.0,21.0,21.0,0.8,8.0,2.518918918918919,1.9,63.0,354.0,228.1689189189189,183.0,3.0,4.0,3.689189189189189,4.0,7.0,"32,763"
2009-06-15,0.005,0.011,0.006625,0.006,0.3,0.7,0.4541666666666666,0.5,0.001,0.105,0.0327916666666666,0.015,0.015,0.05,0.0290833333333333,0.028,34.0,86.0,66.04545454545455,65.0,0.0,0.0,0.0,0.0,0.0,60.0,17.905405405405407,25.0,45.0,90.0,69.86486486486487,70.0,30.0,34.0,31.84210526315789,31.0,21.0,21.0,21.0,21.0,0.4,4.0,1.4817567567567569,1.3,6.0,360.0,178.59459459459458,201.0,3.0,4.0,3.891891891891892,4.0,1.0,"7,830"
2009-06-17,0.006,0.007,0.0065416666666666,0.007,0.4,0.8,0.5958333333333333,0.6,0.001,0.05,0.0102916666666666,0.0025,0.033,0.064,0.0482916666666666,0.0475,34.0,100.0,69.69565217391305,74.0,0.0,1.0,0.0131578947368421,0.0,20.0,70.0,31.013513513513512,30.0,75.0,100.0,86.18243243243244,85.0,29.0,34.0,30.31578947368421,30.0,23.0,24.0,23.5625,24.0,1.1,9.0,3.0283783783783784,2.3,83.0,300.0,167.07432432432432,148.0,1.0,4.0,2.5472972972972974,3.0,3.0,"8,386"
2009-06-19,0.008,0.011,0.0092083333333333,0.009,0.3,0.7,0.4708333333333332,0.4,0.001,0.052,0.022,0.014,0.012,0.07,0.0382083333333333,0.0375,31.0,105.0,67.25,68.5,0.0,0.0,0.0,0.0,20.0,60.0,25.81081081081081,30.0,65.0,90.0,79.1554054054054,80.0,28.0,32.0,31.21052631578948,32.0,23.0,23.0,23.0,23.0,1.1,4.6,2.3324324324324324,2.05,307.0,340.0,323.9864864864865,326.5,1.0,1.0,1.0,1.0,5.0,"11,013"
2009-06-20,0.006,0.009,0.0068333333333333,0.006,0.3,0.5,0.3458333333333334,0.3,0.001,0.02,0.0090833333333333,0.009,0.015,0.038,0.0243333333333333,0.023,18.0,64.0,39.833333333333336,43.0,0.0,0.0,0.0,0.0,30.0,90.0,41.08108108108108,30.0,80.0,95.0,85.87837837837837,85.0,30.0,32.0,31.26315789473684,32.0,23.0,24.0,23.4375,23.0,0.3,2.2,1.075,0.75,11.0,360.0,216.6081081081081,319.0,1.0,4.0,1.9391891891891893,1.0,6.0,"2,500"
2009-06-25,0.004,0.009,0.0061249999999999,0.006,0.2,0.5,0.3666666666666667,0.4,0.006,0.06,0.0320416666666666,0.0275,0.01,0.048,0.0295833333333333,0.0315,30.0,81.0,56.79166666666666,58.0,0.0,5.0,2.539473684210526,3.0,20.0,30.0,23.37837837837838,20.0,70.0,90.0,81.01351351351352,85.0,28.0,30.0,28.894736842105264,29.0,24.0,24.0,24.0,24.0,0.4,6.0,1.850675675675676,0.75,14.0,354.0,247.48648648648648,338.0,1.0,4.0,1.1891891891891893,1.0,4.0,"7,408"
