date,sulfur_dioxide_min,sulfur_dioxide_max,sulfur_dioxide_mean,sulfur_dioxide_median,carbon_monoxide_min,carbon_monoxide_max,carbon_monoxide_mean,carbon_monoxide_median,ozone_min,ozone_max,ozone_mean,ozone_median,nitrogen_dioxide_min,nitrogen_dioxide_max,nitrogen_dioxide_mean,nitrogen_dioxide_median,fine_dust_pm10_min,fine_dust_pm10_max,fine_dust_pm10_mean,fine_dust_pm10_median
2008-11-18,0.002,0.007,0.004136363636363636,0.0035,0.2,0.3,0.22272727272727275,0.2,0.011,0.026,0.01959090909090909,0.02,0.007,0.026,0.014363636363636363,0.014,8.0,49.0,19.125,16.0
2008-11-19,0.004,0.008,0.006166666666666667,0.006,0.2,0.5,0.2833333333333333,0.3,0.002,0.024,0.015291666666666667,0.0165,0.008,0.032,0.016874999999999998,0.015,10.0,47.0,24.863636363636363,21.0
2008-11-20,0.006,0.014,0.009291666666666667,0.009,0.3,0.8,0.5499999999999999,0.5,0.002,0.022,0.004708333333333333,0.0025,0.018,0.044,0.03354166666666667,0.0315,13.0,79.0,37.708333333333336,40.0
2008-11-21,0.007,0.011,0.009125,0.009,0.1,0.7,0.3521739130434782,0.3,0.002,0.029,0.014833333333333332,0.013000000000000001,0.006,0.041,0.01916666666666667,0.0185,7.0,53.0,23.75,21.0
2008-11-22,0.01,0.01,0.01,0.01,0.3,1.5,0.6333333333333333,0.6499999999999999,0.002,0.011,0.004666666666666667,0.003,0.025,0.058,0.036083333333333335,0.0345,11.0,104.0,30.73913043478261,23.0
2008-11-23,0.011,0.018,0.01526086956521739,0.016,0.4,1.6,0.9874999999999999,1.1,0.002,0.027,0.006458333333333333,0.003,0.022,0.058,0.03704166666666667,0.035,21.0,126.0,60.541666666666664,57.0
2008-11-24,0.008,0.015,0.011272727272727273,0.011,0.4,1.5,0.9916666666666667,1.0,0.002,0.014,0.0047083333333333335,0.004,0.035,0.057,0.04699999999999999,0.0475,64.0,131.0,92.21739130434783,94.0
2008-11-25,0.007,0.015,0.010333333333333333,0.010499999999999999,0.4,1.2,0.8250000000000001,0.8500000000000001,0.003,0.014,0.005416666666666667,0.004,0.027,0.055,0.043541666666666666,0.0475,40.0,118.0,73.25,70.5
2008-11-26,0.008,0.013,0.010791666666666666,0.011,0.4,1.3,0.8416666666666667,0.9,0.003,0.042,0.011208333333333334,0.004,0.017,0.056,0.03895833333333334,0.0405,44.0,124.0,78.45833333333333,75.5
2008-11-27,0.004,0.008,0.006,0.006,0.4,1.1,0.6,0.6,0.003,0.033,0.011500000000000002,0.0075,0.013,0.052,0.03383333333333333,0.036000000000000004,10.0,108.0,60.208333333333336,61.0
2008-11-28,0.005,0.009,0.006375,0.006,0.3,0.8,0.49583333333333335,0.5,0.003,0.038,0.014541666666666666,0.0115,0.013,0.036,0.025958333333333333,0.0275,11.0,82.0,40.583333333333336,39.0
2008-11-29,0.004,0.008,0.005666666666666667,0.005,0.1,0.5,0.275,0.25,0.003,0.029,0.016916666666666667,0.019,0.006,0.034,0.01725,0.017,5.0,48.0,21.583333333333332,17.5
2008-11-30,0.004,0.013,0.007583333333333333,0.007,0.2,1.2,0.5166666666666667,0.45,0.004,0.022,0.00975,0.006500000000000001,0.011,0.042,0.024458333333333332,0.021,9.0,81.0,30.125,25.5
2008-12-01,0.005,0.016,0.009478260869565217,0.009,0.3,1.0,0.5608695652173913,0.4,0.003,0.026,0.009318181818181817,0.007,0.024,0.048,0.036772727272727276,0.036000000000000004,28.0,85.0,46.94117647058823,45.0
