timestamp,sky state_min,sky state_max,sky state_mean,sky state_median
2019-10-04,1.0,3.0,1.4621212121212122,1.0
2019-10-05,1.0,3.0,1.9696969696969697,2.0
2019-10-06,1.0,4.0,3.462121212121212,4.0
2019-10-07,2.0,4.0,3.106060606060606,3.0
2019-10-08,1.0,4.0,3.0757575757575757,3.0
2019-10-09,2.0,4.0,2.9696969696969697,3.0
2019-10-10,1.0,4.0,2.5606060606060606,3.0
2019-10-11,1.0,3.0,1.3409090909090908,1.0
2019-10-12,1.0,4.0,2.393939393939394,2.0
2019-10-13,1.0,3.0,1.5681818181818181,1.5
2019-10-14,1.0,2.0,1.0909090909090908,1.0
2019-10-15,1.0,2.0,1.4621212121212122,1.0
2019-10-16,1.0,3.0,1.8257575757575757,2.0
2019-10-17,1.0,2.0,1.7196969696969697,2.0
2019-10-18,1.0,3.0,2.3257575757575757,2.5
2019-10-19,2.0,4.0,3.4242424242424243,3.0
2019-10-20,2.0,4.0,3.212121212121212,3.0
2019-10-21,1.0,4.0,3.6013071895424837,4.0
2019-10-22,1.0,4.0,1.6051282051282052,1.0
2019-10-23,1.0,4.0,2.3068181818181817,2.0
2019-10-24,2.0,4.0,3.1470588235294117,3.0
2019-10-25,2.0,4.0,2.7045454545454546,3.0
2019-10-26,2.0,4.0,3.090909090909091,3.0
2019-10-27,2.0,4.0,3.727272727272727,4.0
2019-10-28,2.0,4.0,3.621212121212121,4.0
2019-10-29,2.0,4.0,3.196969696969697,3.0
2019-10-30,2.0,4.0,3.265151515151515,3.0
2019-10-31,2.0,3.0,2.1818181818181817,2.0
2019-11-01,2.0,4.0,3.3636363636363638,3.0
2019-11-02,2.0,4.0,3.5303030303030303,4.0
2019-11-03,1.0,3.0,1.9090909090909092,2.0
2019-11-04,1.0,3.0,1.5454545454545454,1.0
2019-11-05,1.0,3.0,2.409090909090909,2.0
2019-11-06,1.0,3.0,1.621212121212121,1.0
2019-11-07,1.0,4.0,2.515151515151515,2.0
2019-11-08,1.0,4.0,2.0681818181818183,2.0
2019-11-09,1.0,4.0,2.962121212121212,3.0
2019-11-10,1.0,4.0,1.7651515151515151,1.0
2019-11-11,2.0,4.0,3.143939393939394,3.0
2019-11-12,1.0,3.0,1.7196969696969697,2.0
2019-11-13,1.0,4.0,2.9545454545454546,3.0
2019-11-14,1.0,4.0,2.3181818181818183,2.0
2019-11-15,2.0,4.0,2.7954545454545454,3.0
2019-11-16,1.0,3.0,1.4772727272727273,1.0
2019-11-17,1.0,4.0,2.340909090909091,2.0
2019-11-18,2.0,4.0,3.6742424242424243,4.0
2019-11-19,2.0,3.0,2.0984848484848486,2.0
2019-11-20,1.0,3.0,1.4414414414414414,1.0
2019-11-21,1.0,4.0,2.710144927536232,3.0
2019-11-22,2.0,4.0,3.659090909090909,4.0
