timestamp,wind direction_min,wind direction_max,wind direction_mean,wind direction_median
2019-11-30,29,360,156.8560606060606,90.0
2019-12-01,45,307,122.43181818181819,122.0
2019-12-02,33,360,234.53030303030303,303.0
2019-12-03,26,360,150.47727272727272,90.0
2019-12-04,18,360,319.67424242424244,315.0
2019-12-05,40,360,101.43939393939394,90.0
2019-12-06,2,360,130.0151515151515,90.0
2019-12-07,37,360,218.20454545454547,315.0
2019-12-08,6,360,76.90151515151516,45.0
2019-12-09,23,90,51.67424242424242,45.0
2019-12-10,43,90,63.96969696969697,47.0
2019-12-11,37,360,179.75757575757575,90.0
2019-12-12,45,315,263.5530303030303,270.0
2019-12-13,127,270,226.87121212121212,225.0
2019-12-14,171,360,271.25757575757575,270.0
2019-12-15,45,360,239.13636363636363,288.0
2019-12-16,70,243,155.71212121212122,145.0
2019-12-17,135,315,281.90909090909093,315.0
2019-12-18,45,315,294.8712121212121,315.0
2019-12-19,0,360,237.71969696969697,270.0
2019-12-20,225,315,293.3484848484849,315.0
2019-12-21,213,270,228.36363636363637,225.0
2019-12-22,210,315,259.8712121212121,252.5
2019-12-23,90,315,282.43939393939394,315.0
2019-12-24,45,315,191.59848484848484,225.0
2019-12-25,45,360,162.28030303030303,90.0
2019-12-26,45,270,109.28030303030303,90.0
2019-12-27,43,360,193.87878787878788,247.0
2019-12-28,53,315,254.46212121212122,259.0
2019-12-29,127,315,263.75757575757575,266.0
2019-12-30,270,360,319.3181818181818,315.0
2019-12-31,18,360,239.04545454545453,315.0
2020-01-01,93,270,212.42424242424244,225.0
2020-01-02,30,255,179.33333333333334,225.0
2020-01-03,45,360,284.5151515151515,315.0
2020-01-04,270,315,306.1818181818182,315.0
2020-01-05,72,315,225.4318181818182,225.0
2020-01-06,45,270,200.50757575757575,225.0
2020-01-07,45,315,244.79545454545453,262.0
2020-01-08,45,360,300.3712121212121,315.0
2020-01-09,26,360,207.8409090909091,270.0
2020-01-10,45,246,200.54545454545453,225.0
2020-01-11,45,284,212.06060606060606,225.0
2020-01-12,9,360,208.08333333333334,227.0
2020-01-13,45,200,102.79545454545455,90.0
2020-01-14,45,360,173.52272727272728,90.0
2020-01-15,270,315,310.5681818181818,315.0
2020-01-16,45,360,302.1969696969697,315.0
2020-01-17,11,338,191.03030303030303,270.0
2020-01-18,24,360,218.03787878787878,270.0
2020-01-19,56,315,216.8409090909091,225.0
2020-01-20,84,270,201.4848484848485,225.0
2020-01-21,45,270,148.53787878787878,135.0
2020-01-22,30,279,106.09848484848484,90.0
2020-01-23,45,135,67.29545454545455,64.0
2020-01-24,37,360,128.17424242424244,53.0
2020-01-25,90,315,300.5151515151515,315.0
2020-01-26,68,315,260.45454545454544,270.0
2020-01-27,45,315,210.96212121212122,225.0
2020-01-28,84,315,201.03030303030303,180.0
2020-01-29,180,270,239.17424242424244,225.5
2020-01-30,20,315,244.7348484848485,268.0
2020-01-31,250,315,271.75757575757575,270.0
2020-02-01,225,315,283.75757575757575,270.0
2020-02-02,225,246,229.11363636363637,225.0
2020-02-03,211,244,230.25757575757575,226.0
2018-02-01,165,246,225.32575757575756,226.0
2018-02-02,45,244,216.1590909090909,225.0
2018-02-03,90,225,210.3409090909091,225.0
2018-02-04,219,315,274.59090909090907,270.0
2018-02-05,225,315,248.86363636363637,225.0
2018-02-06,0,360,231.16666666666666,270.0
2018-02-07,0,270,218.5530303030303,225.0
2018-02-08,135,315,254.50757575757575,270.0
2018-02-09,0,315,256.72727272727275,270.0
2018-02-10,0,360,288.79545454545456,315.0
2018-02-11,45,360,188.72727272727272,270.0
2018-02-12,37,360,239.3030303030303,270.0
2018-02-13,90,315,239.43939393939394,270.0
2018-02-14,45,315,204.5681818181818,225.0
2018-02-15,80,315,172.4848484848485,180.0
2018-02-16,137,270,211.7651515151515,225.0
2018-02-17,153,315,237.1590909090909,231.0
2018-02-18,45,270,213.70454545454547,225.0
2018-02-19,22,270,202.6590909090909,230.5
2018-02-20,0,252,113.84848484848484,90.0
2018-02-21,31,360,123.98484848484848,90.0
2018-02-22,13,360,272.5681818181818,275.0
2018-02-23,0,360,263.07575757575756,315.0
2018-02-24,33,315,62.53030303030303,52.0
2018-02-25,0,315,174.37878787878788,238.0
2018-02-26,0,270,246.91666666666666,270.0
2018-02-27,4,354,217.15151515151516,225.0
2018-02-28,6,355,137.77272727272728,135.0
2018-03-01,0,325,143.53030303030303,135.0
2018-03-02,0,315,162.16666666666666,135.0
2018-03-03,0,315,179.5151515151515,180.0
2018-03-04,45,315,247.8409090909091,267.0
2018-03-05,222,315,274.6136363636364,270.0
2018-03-06,45,355,279.2121212121212,288.0
2018-03-07,0,360,210.36363636363637,182.0
2018-03-08,0,360,107.11363636363636,90.0
2018-03-09,0,284,143.2348484848485,135.0
2018-03-10,0,248,146.53787878787878,135.0
2018-03-11,0,251,121.41666666666667,135.0
2018-03-12,0,263,141.9469696969697,135.0
2018-03-13,75,315,145.13636363636363,135.0
