timestamp,probability of precipitation_min,probability of precipitation_max,probability of precipitation_mean,probability of precipitation_median
2019-10-01,0,60,21.060606060606062,20.0
2019-10-02,0,20,5.0,0.0
2019-10-03,0,30,24.46969696969697,30.0
2019-10-04,0,20,7.575757575757576,10.0
2019-10-05,0,10,1.6666666666666667,0.0
2019-10-06,0,20,5.606060606060606,5.0
2019-10-07,0,20,4.015151515151516,0.0
2019-10-08,0,10,4.46969696969697,0.0
2019-10-09,10,60,26.28787878787879,20.0
2019-10-10,0,80,38.93939393939394,35.0
2019-10-11,0,20,5.909090909090909,10.0
2019-10-12,0,10,4.090909090909091,0.0
2019-10-13,0,20,11.287878787878787,10.0
2019-10-14,0,20,10.075757575757576,10.0
2019-10-15,0,40,23.439393939393938,20.0
2019-10-16,30,70,56.28787878787879,60.0
2019-10-17,0,60,18.78787878787879,20.0
2019-10-18,0,20,11.666666666666666,10.0
2019-10-19,0,20,10.454545454545455,10.0
2019-10-20,10,30,21.59090909090909,20.0
2019-10-21,0,30,8.409090909090908,10.0
2019-10-22,0,60,20.984848484848484,20.0
2019-10-23,0,30,14.621212121212121,10.0
2019-10-24,0,10,3.712121212121212,0.0
2019-10-25,0,10,3.3333333333333335,0.0
2019-10-26,0,20,8.348484848484848,10.0
2019-10-27,0,20,11.636363636363637,10.0
2019-10-28,0,30,15.681818181818182,20.0
2019-10-29,0,20,3.6363636363636362,0.0
2019-10-30,0,10,8.030303030303031,10.0
2019-10-31,10,30,14.393939393939394,10.0
2019-11-01,0,60,29.015151515151516,20.0
2019-11-02,0,20,4.545454545454546,0.0
2019-11-03,0,20,9.166666666666666,10.0
2019-11-04,0,90,45.833333333333336,30.0
2019-11-05,10,60,28.257575757575758,20.0
2019-11-06,10,80,28.772727272727273,20.0
2019-11-07,10,60,21.59090909090909,20.0
2019-11-08,0,60,18.40909090909091,20.0
2019-11-09,0,20,4.015151515151516,0.0
2019-11-10,0,60,16.59090909090909,10.0
2019-11-11,0,20,5.681818181818182,5.0
2019-11-12,0,10,0.9090909090909091,0.0
2019-11-13,0,10,4.621212121212121,0.0
2019-11-14,0,20,8.257575757575758,10.0
2019-11-15,0,10,6.590909090909091,10.0
2019-11-16,0,20,13.181818181818182,10.0
2019-11-17,10,60,31.893939393939394,30.0
2019-11-18,10,80,24.62121212121212,20.0
2019-11-19,20,100,59.92424242424242,60.0
2019-11-20,0,30,8.333333333333334,10.0
2019-11-21,0,10,2.121212121212121,0.0
2019-11-22,0,60,20.151515151515152,20.0
2019-11-23,20,30,22.87878787878788,20.0
2019-11-24,10,60,17.575757575757574,20.0
2019-11-25,10,60,23.03030303030303,20.0
2019-11-26,10,80,34.166666666666664,30.0
2019-11-27,10,90,46.666666666666664,30.0
2019-11-28,10,30,21.742424242424242,20.0
2019-11-29,10,30,22.651515151515152,20.0
2019-11-30,10,20,11.515151515151516,10.0
2019-12-01,10,60,24.46969696969697,20.0
2019-12-02,10,70,39.46969696969697,30.0
2019-12-03,0,30,9.696969696969697,10.0
2019-12-04,0,20,5.378787878787879,0.0
2019-12-05,0,20,13.863636363636363,10.0
2019-12-06,0,20,6.212121212121212,0.0
2019-12-07,0,60,17.87878787878788,10.0
2019-12-08,0,60,12.272727272727273,10.0
2019-12-09,0,60,24.015151515151516,20.0
2019-12-10,0,30,8.712121212121213,0.0
2019-12-11,10,30,22.5,20.0
2019-12-12,0,20,7.196969696969697,10.0
2019-12-13,0,30,17.87878787878788,20.0
2019-12-14,0,60,20.53030303030303,10.0
2019-12-15,10,30,17.651515151515152,20.0
2019-12-16,0,20,4.7727272727272725,0.0
2019-12-17,0,30,13.257575757575758,10.0
2019-12-18,20,70,37.803030303030305,30.0
2019-12-19,10,20,11.590909090909092,10.0
2019-12-20,0,20,3.8636363636363638,0.0
2019-12-21,10,70,28.863636363636363,30.0
2019-12-22,0,80,24.166666666666668,20.0
2019-12-23,10,80,31.742424242424242,30.0
2019-12-24,0,80,19.242424242424242,15.0
2019-12-25,0,10,0.6060606060606061,0.0
2019-12-26,0,20,3.6363636363636362,0.0
2019-12-27,20,30,27.424242424242426,30.0
2019-12-28,20,30,28.939393939393938,30.0
2019-12-29,20,70,39.46969696969697,30.0
2019-12-30,10,30,24.848484848484848,30.0
2019-12-31,0,30,11.590909090909092,10.0
2020-01-01,0,30,7.7272727272727275,10.0
2020-01-02,0,10,4.545454545454546,0.0
2020-01-03,0,10,3.5606060606060606,0.0
2020-01-04,0,10,4.166666666666667,0.0
2020-01-05,0,10,4.318181818181818,0.0
2020-01-06,0,10,0.15151515151515152,0.0
2020-01-07,0,30,2.272727272727273,0.0
2020-01-08,0,30,5.757575757575758,0.0
2020-01-09,0,30,11.969696969696969,10.0
2020-01-10,20,60,37.72727272727273,30.0
2020-01-11,10,60,17.424242424242426,20.0
2020-01-12,10,30,17.803030303030305,20.0
2020-01-13,0,60,35.22727272727273,30.0
2020-01-14,0,20,3.8636363636363638,0.0
2020-01-15,10,60,30.757575757575758,30.0
2020-01-16,0,20,3.8636363636363638,0.0
2020-01-17,10,90,60.79545454545455,60.0
2020-01-18,0,70,21.098484848484848,10.0
2020-01-19,0,10,1.8181818181818181,0.0
2020-01-20,0,70,28.106060606060606,20.0
2020-01-21,0,70,13.863636363636363,0.0
2020-01-22,0,70,11.893939393939394,10.0
2020-01-23,0,70,37.42424242424242,30.0
2020-01-24,0,20,1.0606060606060606,0.0
2020-01-25,0,0,0.0,0.0
2020-01-26,0,20,0.9090909090909091,0.0
2020-01-27,0,30,5.454545454545454,0.0
2020-01-28,0,30,16.28787878787879,20.0
2020-01-29,0,20,9.772727272727273,10.0
2020-01-30,0,20,14.242424242424242,20.0
2020-01-31,0,60,15.075757575757576,10.0
2020-02-01,0,20,8.484848484848484,0.0
2020-02-02,0,70,39.166666666666664,30.0
2020-02-03,0,60,12.045454545454545,0.0
2018-02-01,0,10,1.6666666666666667,0.0
2018-02-02,0,20,9.090909090909092,10.0
2018-02-03,0,20,4.318181818181818,0.0
2018-02-04,0,80,32.72727272727273,30.0
2018-02-05,20,80,47.65151515151515,60.0
2018-02-06,0,20,3.257575757575758,0.0
2018-02-07,0,10,4.015151515151516,0.0
2018-02-08,0,30,18.333333333333332,20.0
2018-02-09,10,60,21.28787878787879,20.0
2018-02-10,0,20,4.924242424242424,0.0
2018-02-11,0,20,5.606060606060606,0.0
2018-02-12,0,80,45.45454545454545,45.0
2018-02-13,0,20,3.5606060606060606,0.0
2018-02-14,0,20,7.651515151515151,10.0
2018-02-15,10,60,33.484848484848484,30.0
2018-02-16,0,30,10.151515151515152,10.0
2018-02-17,0,30,8.030303030303031,10.0
2018-02-18,0,20,1.5151515151515151,0.0
2018-02-19,0,20,10.0,10.0
2018-02-20,0,10,0.9848484848484849,0.0
2018-02-21,0,0,0.0,0.0
2018-02-22,0,10,1.2121212121212122,0.0
2018-02-23,0,30,24.393939393939394,30.0
2018-02-24,20,70,40.15151515151515,30.0
2018-02-25,20,60,30.227272727272727,30.0
2018-02-26,30,70,35.984848484848484,30.0
2018-02-27,20,80,52.65151515151515,60.0
2018-02-28,0,60,36.515151515151516,30.0
2018-03-01,0,60,10.757575757575758,10.0
2018-03-02,10,30,21.439393939393938,20.0
2018-03-03,0,20,4.46969696969697,0.0
2018-03-04,0,20,2.6515151515151514,0.0
2018-03-05,10,90,42.34848484848485,30.0
2018-03-06,0,30,13.106060606060606,10.0
2018-03-07,0,20,5.984848484848484,10.0
2018-03-08,0,20,5.53030303030303,0.0
2018-03-09,10,30,21.59090909090909,20.0
2018-03-10,0,30,8.712121212121213,10.0
2018-03-11,0,20,3.6363636363636362,0.0
2018-03-12,0,70,30.227272727272727,30.0
2018-03-13,20,90,65.60606060606061,70.0
2018-03-14,0,20,7.954545454545454,10.0
2018-03-15,0,60,21.96969696969697,20.0
2018-03-16,10,90,33.93939393939394,20.0
2018-03-17,20,90,47.121212121212125,30.0
2018-03-18,10,30,15.530303030303031,20.0
2018-03-19,10,30,21.59090909090909,20.0
2018-03-20,20,80,53.484848484848484,60.0
2018-03-21,20,40,25.833333333333332,30.0
2018-03-22,10,30,21.515151515151516,20.0
2018-03-23,10,30,18.181818181818183,20.0
2018-03-24,0,30,20.303030303030305,20.0
2018-03-25,30,80,67.34848484848484,70.0
2018-03-26,0,60,20.393939393939394,20.0
2018-03-27,0,20,13.590909090909092,10.0
2018-03-28,0,60,23.71212121212121,20.0
2018-03-29,0,10,2.0454545454545454,0.0
2018-03-30,10,90,37.27272727272727,30.0
2018-03-31,0,90,38.63636363636363,20.0
2018-04-01,0,20,2.9545454545454546,0.0
2018-04-02,10,80,45.303030303030305,60.0
2018-04-03,0,30,6.96969696969697,0.0
