timestamp,wind speed_min,wind speed_max,wind speed_mean,wind speed_median
2018-04-15,0.6,3.2,1.7446969696969699,1.65
2018-04-16,0.5,3.7,1.9886363636363635,2.0
2018-04-17,1.5,5.0,3.481818181818182,3.5
2018-04-18,3.0,5.0,3.978030303030303,4.0
2018-04-19,2.5,6.0,4.30530303030303,4.3
2018-04-20,0.5,5.1,2.796969696969697,2.5
2018-04-21,1.0,4.0,2.518181818181818,2.5
2018-04-22,3.0,5.1,3.4507575757575757,3.5
2018-04-23,2.9,5.9,3.8015151515151517,3.5
2018-04-24,1.6,4.5,2.915151515151515,3.0
2018-04-25,0.6,3.6,2.0310606060606062,2.0
2018-04-26,0.5,2.6,1.5507575757575758,1.6
2018-04-27,1.0,4.0,2.1083333333333334,2.0
2018-04-28,1.0,4.2,2.387121212121212,2.0
2018-04-29,0.6,3.0,1.9007575757575759,2.0
2018-04-30,0.6,3.5,2.015909090909091,2.0
2018-05-01,0.9,4.3,2.2992424242424243,2.1
2018-05-02,2.0,4.5,3.0787878787878786,3.0
2018-05-03,1.5,14.0,3.287878787878788,2.6
2018-05-04,0.9,19.9,6.2250000000000005,4.45
2018-05-05,0.4,4.5,2.000757575757576,2.0
2018-05-06,0.7,4.4,2.1462121212121215,2.0
2018-05-07,0.2,3.0,1.3424242424242423,1.0
2018-05-08,0.9,3.3,2.0053030303030304,2.0
2018-05-09,3.0,6.0,4.53030303030303,4.25
2018-05-10,1.3,4.0,2.746212121212121,2.5
2018-05-11,1.5,4.0,2.503030303030303,2.55
2018-05-12,0.9,5.0,3.115909090909091,3.0
2018-05-13,0.5,3.4,1.7704545454545453,1.95
2018-05-14,1.0,3.5,1.8424242424242423,1.6
2018-05-15,0.4,2.5,1.465151515151515,1.5
2018-05-16,0.3,2.5,1.2507575757575757,1.0
2018-05-17,0.3,2.1,1.2136363636363636,1.1
2018-05-18,0.5,3.0,1.2787878787878788,1.15
2018-05-19,0.6,2.1,1.4000000000000001,1.5
2018-05-20,0.7,3.0,1.4621212121212122,1.3
2018-05-21,1.0,3.0,1.7356060606060606,1.9
2018-05-22,1.0,3.0,1.7651515151515151,1.6
2018-05-23,1.0,5.0,3.015909090909091,3.0
2018-05-24,1.0,3.5,2.3431818181818183,2.9
2018-05-25,0.6,4.0,2.1045454545454545,2.0
2018-05-26,0.8,3.0,1.590151515151515,1.6
2018-05-27,0.3,3.0,1.4969696969696968,1.5
2018-05-28,0.8,2.0,1.5340909090909092,1.55
2018-05-29,1.0,4.6,2.39469696969697,2.2
2018-05-30,1.3,5.1,3.1734848484848484,3.0
2018-05-31,0.5,1.6,1.1090909090909091,1.0
2018-06-01,0.4,2.3,1.2568181818181818,1.25
2018-06-02,0.2,2.9,1.2972972972972974,1.0
2018-06-03,0.6,2.8,2.017391304347826,2.4
2018-06-04,0.7,3.0,1.8,1.6
2018-06-05,0.7,6.0,3.16640625,3.0
2018-06-06,1.0,6.0,3.043939393939394,3.0
2018-06-07,0.5,2.0,1.334090909090909,1.4
2018-06-08,0.4,2.5,1.4742424242424241,1.5
2018-06-09,0.5,2.5,1.5613636363636363,1.5
2018-06-10,1.0,2.5,1.9431818181818181,2.0
2018-06-11,0.9,2.5,1.5606060606060606,1.5
2018-06-12,0.4,3.5,1.55,1.6
2018-06-13,0.5,1.6,1.134090909090909,1.0
2018-06-14,0.5,3.0,1.565909090909091,1.5
2018-06-15,0.4,2.0,1.137121212121212,1.0
